[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
502 632 12 13 4 0 100 7.967 23.859 
632 795 12 13 4 0 100 8.228 24.001 
795 1000 12 13 4 0 100 7.382 24.301 
1000 3500 12 13 4 0 100 8.094 25.575 
20 26 13 14 4 0 100 7.605 10.747 
26 32 13 14 4 0 100 8.572 11.560 
32 40 13 14 4 0 100 8.688 12.693 
40 51 13 14 4 0 100 8.786 13.838 
51 64 13 14 4 0 100 8.797 15.008 
64 80 13 14 4 0 100 8.726 16.315 
80 101 13 14 4 0 100 8.577 17.611 
101 127 13 14 4 0 100 8.364 18.768 
127 159 13 14 4 0 100 8.186 19.841 
159 200 13 14 4 0 100 7.800 20.987 
200 252 13 14 4 0 100 7.579 21.896 
252 317 13 14 4 0 100 7.336 22.905 
317 399 13 14 4 0 100 7.684 23.450 
399 502 13 14 4 0 100 7.504 24.044 
502 632 13 14 4 0 100 7.186 24.394 
632 795 13 14 4 0 100 8.444 24.413 
795 1000 13 14 4 0 100 9.337 24.441 
1000 3500 13 14 4 0 100 5.179 26.616 
20 26 14 15 4 0 100 8.027 11.134 
26 32 14 15 4 0 100 8.069 11.868 
32 40 14 15 4 0 100 8.734 13.073 
40 51 14 15 4 0 100 8.730 14.212 
51 64 14 15 4 0 100 9.083 15.312 
64 80 14 15 4 0 100 8.699 16.439 
80 101 14 15 4 0 100 8.772 17.687 
101 127 14 15 4 0 100 8.267 19.113 
127 159 14 15 4 0 100 7.828 20.143 
159 200 14 15 4 0 100 7.970 21.169 
200 252 14 15 4 0 100 7.780 22.189 
252 317 14 15 4 0 100 7.682 22.832 
317 399 14 15 4 0 100 7.803 23.666 
399 502 14 15 4 0 100 8.245 23.875 
502 632 14 15 4 0 100 7.851 24.628 
632 795 14 15 4 0 100 8.541 25.111 
795 1000 14 15 4 0 100 7.456 25.694 
1000 3500 14 15 4 0 100 8.128 24.554 
20 26 15 16 4 0 100 7.966 11.541 
26 32 15 16 4 0 100 9.086 12.415 
32 40 15 16 4 0 100 9.064 13.244 
40 51 15 16 4 0 100 8.958 14.467 
51 64 15 16 4 0 100 8.998 15.597 
64 80 15 16 4 0 100 9.123 16.709 
80 101 15 16 4 0 100 8.581 17.953 
101 127 15 16 4 0 100 8.445 19.342 
127 159 15 16 4 0 100 8.621 20.406 
159 200 15 16 4 0 100 7.843 21.441 
200 252 15 16 4 0 100 7.938 22.848 
252 317 15 16 4 0 100 7.851 23.340 
317 399 15 16 4 0 100 7.188 23.997 
399 502 15 16 4 0 100 7.743 24.549 
502 632 15 16 4 0 100 8.290 24.712 
632 795 15 16 4 0 100 8.121 25.314 
795 1000 15 16 4 0 100 7.023 26.083 
1000 3500 15 16 4 0 100 7.380 29.093 
20 26 16 17 4 0 100 7.483 11.883 
26 32 16 17 4 0 100 8.449 12.104 
32 40 16 17 4 0 100 9.319 13.574 
40 51 16 17 4 0 100 8.411 14.607 
51 64 16 17 4 0 100 9.458 15.957 
64 80 16 17 4 0 100 9.067 17.293 
80 101 16 17 4 0 100 9.021 18.366 
101 127 16 17 4 0 100 8.941 19.435 
127 159 16 17 4 0 100 8.227 20.665 
159 200 16 17 4 0 100 8.576 21.757 
200 252 16 17 4 0 100 8.013 22.576 
252 317 16 17 4 0 100 7.859 23.186 
317 399 16 17 4 0 100 7.865 23.773 
399 502 16 17 4 0 100 8.970 24.669 
502 632 16 17 4 0 100 8.076 25.548 
632 795 16 17 4 0 100 8.293 25.704 
795 1000 16 17 4 0 100 6.459 25.471 
1000 3500 16 17 4 0 100 8.178 25.256 
20 26 17 18 4 0 100 7.492 11.664 
26 32 17 18 4 0 100 8.983 13.273 
32 40 17 18 4 0 100 10.021 13.962 
40 51 17 18 4 0 100 9.568 14.876 
51 64 17 18 4 0 100 9.046 15.939 
64 80 17 18 4 0 100 10.130 17.882 
80 101 17 18 4 0 100 9.246 18.564 
101 127 17 18 4 0 100 8.718 19.823 
127 159 17 18 4 0 100 8.396 20.889 
159 200 17 18 4 0 100 8.209 22.060 
200 252 17 18 4 0 100 7.247 22.792 
252 317 17 18 4 0 100 7.746 23.839 
317 399 17 18 4 0 100 8.002 25.698 
399 502 17 18 4 0 100 8.323 24.373 
502 632 17 18 4 0 100 7.231 25.088 
632 795 17 18 4 0 100 7.443 26.569 
795 1000 17 18 4 0 100 6.609 26.848 
1000 3500 17 18 4 0 100 12.846 25.669 
20 26 18 19 4 0 100 7.951 13.264 
26 32 18 19 4 0 100 10.145 13.908 
32 40 18 19 4 0 100 10.446 13.801 
40 51 18 19 4 0 100 10.490 15.756 
51 64 18 19 4 0 100 8.557 16.596 
64 80 18 19 4 0 100 8.559 17.949 
80 101 18 19 4 0 100 9.317 19.113 
101 127 18 19 4 0 100 8.953 19.936 
127 159 18 19 4 0 100 8.232 21.347 
159 200 18 19 4 0 100 8.777 22.386 
200 252 18 19 4 0 100 8.612 22.917 
252 317 18 19 4 0 100 9.870 23.629 
317 399 18 19 4 0 100 7.168 26.132 
399 502 18 19 4 0 100 8.360 24.939 
502 632 18 19 4 0 100 5.723 26.407 
632 795 18 19 4 0 100 5.527 27.682 
795 1000 18 19 4 0 100 8.716 26.653 
1000 3500 18 19 4 0 100 20.000 11.782 
20 26 19 100 4 0 100 6.038 13.594 
26 32 19 100 4 0 100 9.352 13.869 
32 40 19 100 4 0 100 9.174 14.664 
40 51 19 100 4 0 100 9.998 15.981 
51 64 19 100 4 0 100 9.445 17.129 
64 80 19 100 4 0 100 9.983 18.431 
80 101 19 100 4 0 100 9.822 19.763 
101 127 19 100 4 0 100 9.649 20.955 
127 159 19 100 4 0 100 9.108 22.070 
159 200 19 100 4 0 100 8.246 23.148 
200 252 19 100 4 0 100 7.193 24.208 
252 317 19 100 4 0 100 8.922 25.312 
317 399 19 100 4 0 100 9.185 24.870 
399 502 19 100 4 0 100 9.227 25.944 
502 632 19 100 4 0 100 5.376 27.434 
632 795 19 100 4 0 100 4.805 29.143 
795 1000 19 100 4 0 100 5.952 29.381 
1000 3500 19 100 4 0 100 20.000 24.215 
